symbol
360ONE
3MINDIA
ABB
ACC
AIAENG
APLAPOLLO
AUBANK
AWL
ABBOTINDIA
ADANIENSOL
ADANIENT
ADANIGREEN
ADANIPORTS
ADANIPOWER
ATGL
ABCAPITAL
AJANTPHARM
ALKEM
AMBUJACEM
ANTHEM
APARINDS
APOLLOHOSP
APOLLOTYRE
ASHOKLEY
ASIANPAINT
ASTRAL
AUROPHARMA
AIIL
DMART
AXISBANK
BSE
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BAJAJHLDNG
BAJAJHFL
BALKRISIND
BANKBARODA
BANKINDIA
MAHABANK
BERGEPAINT
BDL
BEL
BHARATFORG
BHEL
BPCL
BHARTIARTL
BHARTIHEXA
GROWW
BIOCON
BLUESTARCO
BOSCHLTD
BRITANNIA
CGPOWER
CRISIL
CANBK
CHOLAFIN
CIPLA
COALINDIA
COCHINSHIP
COFORGE
COLPAL
CONCOR
COROMANDEL
CUMMINSIND
DLF
DABUR
DALBHARAT
DIVISLAB
DIXON
DRREDDY
EICHERMOT
ENDURANCE
ESCORTS
ETERNAL
EXIDEIND
NYKAA
FEDERALBNK
FORTIS
GAIL
GVT&D
GMRAIRPORT
GICRE
GLAXO
GLENMARK
MEDANTA
GODFRYPHLP
GODREJCP
GODREJIND
GODREJPROP
GRASIM
FLUOROCHEM
HCLTECH
HDBFS
HDFCAMC
HDFCBANK
HDFCLIFE
HAVELLS
HEROMOTOCO
HEXT
HINDALCO
HAL
HINDPETRO
HINDUNILVR
HINDZINC
POWERINDIA
HONAUT
HUDCO
HYUNDAI
ICICIBANK
ICICIGI
ICICIAMC
ICICIPRULI
IDFCFIRSTB
ITCHOTELS
ITC
INDIANB
INDHOTEL
IOC
IRCTC
IRFC
IREDA
INDUSTOWER
INDUSINDBK
NAUKRI
INFY
INDIGO
IPCALAB
JKCEMENT
JSWENERGY
JSWINFRA
JSWSTEEL
JSL
JINDALSTEL
JIOFIN
JUBLFOOD
KPRMILL
KEI
KPITTECH
KALYANKJIL
KOTAKBANK
LTF
LTTS
LGEINDIA
LICHSGFIN
LTM
LT
LAURUSLABS
LENSKART
LICI
LINDEINDIA
LLOYDSME
LODHA
LUPIN
MRF
M&MFIN
M&M
MANKIND
MARICO
MARUTI
MFSL
MAXHEALTH
MAZDOCK
MOTILALOFS
MPHASIS
MCX
MUTHOOTFIN
NHPC
NLCINDIA
NMDC
NTPCGREEN
NTPC
NATIONALUM
NESTLEIND
NAM-INDIA
OBEROIRLTY
ONGC
OIL
PAYTM
OFSS
POLICYBZR
PIIND
PAGEIND
PATANJALI
PERSISTENT
PETRONET
PHOENIXLTD
PIDILITIND
POLYCAB
PFC
POWERGRID
PREMIERENE
PRESTIGE
PNB
RECLTD
RADICO
RVNL
RELIANCE
SBICARD
SBILIFE
SJVN
SRF
MOTHERSON
SCHAEFFLER
SHREECEM
SHRIRAMFIN
ENRIN
SIEMENS
SOLARINDS
SBIN
SAIL
SUNPHARMA
SUNDARMFIN
SUPREMEIND
SUZLON
SWIGGY
TVSMOTOR
TATACAP
TATACOMM
TCS
TATACONSUM
TATAELXSI
TATAINVEST
TMCV
TMPV
TATAPOWER
TATASTEEL
TECHM
NIACL
THERMAX
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TIINDIA
UNOMINDA
UPL
ULTRACEMCO
UNIONBANK
UBL
UNITDSPR
VBL
VEDL
VMM
IDEA
VOLTAS
WAAREEENER
WIPRO
YESBANK
ZYDUSLIFE
